pattern,n_nodes,n_edges,s_exp,s_theta,pval_exp,pval_theta
FOXA1->-MAP3K1 TP53->-FOXA1 TP53->-MAP3K1,3,3,4.000000,4,1.706884e-03,
FOXA1->-MAP3K1 FOXA1->-PIK3CA PIK3CA->-MAP3K1,3,3,2.000000,2,4.325340e-01,
MAP3K1->-KMT2C,2,1,8.000000,8,7.000838e-01,
MAP3K1->-KMT2C MAP3K1->-PIK3CA PIK3CA->-KMT2C,3,3,3.000000,3,3.852467e-01,
MAP3K1->-KMT2C PIK3CA->-KMT2C PIK3CA->-MAP3K1,3,3,2.000000,2,6.737977e-01,
KMT2C->-PIK3CA MAP3K1->-KMT2C MAP3K1->-PIK3CA,3,3,2.000000,2,6.737977e-01,
PIK3CA->-ERBB2,2,1,8.000000,8,7.213401e-01,
CDH1->-ERBB2 CDH1->-PIK3CA PIK3CA->-ERBB2,3,3,4.000000,4,7.063490e-02,
PIK3CA->-ZFHX3,2,1,8.000000,8,3.043127e-01,
TP53->-TSC2,2,1,8.000000,8,4.552831e-02,
PTEN->-KMT2C,2,1,8.000000,8,2.736361e-02,
PTEN->-KMT2C TP53->-KMT2C TP53->-PTEN,3,3,2.000000,2,8.854167e-02,
MEN1->-PIK3CA,2,1,8.000000,8,1.181378e-01,
CDH1->-AKT1,2,1,8.000000,8,6.258089e-01,
TBX3->-CDH1,2,1,8.000000,8,9.715430e-01,
CDH1->-PIK3CA TBX3->-CDH1 TBX3->-PIK3CA,3,3,3.000000,3,3.657438e-01,
CDH1->-BRCA2,2,1,8.000000,8,1.038701e-01,
CDH1->-BRCA2 TP53->-BRCA2 TP53->-CDH1,3,3,2.000000,2,4.320988e-02,
PTEN->-CDH1,2,1,8.000000,8,6.893259e-01,
CDH1->-TP53 PTEN->-CDH1 PTEN->-TP53,3,3,2.000000,2,5.912930e-02,
PIK3CA->-PTCH1,2,1,8.000000,8,1.298652e-02,
NCOR1->-TP53,2,1,8.000000,8,9.841188e-01,
NCOR1->-TP53 PIK3CA->-NCOR1 PIK3CA->-TP53,3,3,2.000000,2,4.135488e-01,
CDH1->-NCOR1 CDH1->-TP53 NCOR1->-TP53,3,3,2.000000,2,3.720663e-01,
PTEN->-MAP3K1,2,1,8.000000,8,6.340544e-02,
PTEN->-MAP3K1 TP53->-MAP3K1 TP53->-PTEN,3,3,2.000000,2,1.319444e-01,
MAP3K1->-PIK3CA PTEN->-MAP3K1 PTEN->-PIK3CA,3,3,2.000000,2,2.638889e-02,
CDH1->-MAP3K1 CDH1->-NF1 NF1->-MAP3K1 PTEN->-CDH1 PTEN->-MAP3K1 PTEN->-NF1,4,6,2.000000,2,1.478909e-03,
RUNX1->-PIK3CA,2,1,8.000000,8,9.876466e-01,
PIK3CA->-CDKN1B,2,1,8.000000,8,6.153487e-01,
CDH1->-CREBBP,2,1,8.000000,8,7.144352e-02,
